"Model","Accuracy","Precision","Recall","F1"
"Barak",0.678306878306878,0.662291877797312,0.898710865561694,0.762584985211029
"Chip",0.583068783068783,0.585057337765496,0.94475138121547,0.72255719707949
"Lilyana",0.574603174603175,0.574603174603175,1,0.729838709677419
